year,month,day,hour,minute,flag,wavenumber,mean_waveheight,mean_waveperiod,significant_waveheight,significant_waveperiod,onetenth_waveheight,onetenth_waveperiod,max_waveheight,max_waveperiod,wavedirection
2015,1,1,0,0,0,399,0.230000,3.000000,0.360000,3.800000,0.460000,3.700000,0.660000,4.700000,172.000000
2015,1,1,0,20,0,429,0.260000,2.800000,0.410000,3.100000,0.530000,2.800000,0.850000,2.400000,217.000000
2015,1,1,0,40,0,439,0.250000,2.700000,0.390000,2.900000,0.500000,2.900000,0.750000,2.300000,250.000000
2015,1,1,1,0,0,410,0.250000,2.900000,0.380000,3.300000,0.450000,3.300000,0.690000,3.000000,290.000000
2015,1,1,1,20,0,425,0.340000,2.800000,0.540000,3.100000,0.720000,3.000000,0.940000,3.200000,155.000000
2015,1,1,1,40,0,384,0.410000,3.100000,0.630000,3.300000,0.770000,3.400000,0.990000,3.200000,258.000000
2015,1,1,2,0,0,368,0.450000,3.200000,0.700000,3.700000,0.870000,3.700000,1.120000,3.300000,151.000000
2015,1,1,2,20,0,346,0.460000,3.500000,0.690000,3.900000,0.860000,3.800000,1.430000,3.800000,356.000000
2015,1,1,2,40,0,357,0.430000,3.300000,0.680000,3.900000,0.850000,3.800000,1.380000,3.400000,176.000000
2015,1,1,3,0,0,366,0.460000,3.300000,0.700000,3.700000,0.910000,3.800000,1.620000,4.400000,168.000000
2015,1,1,3,20,0,367,0.490000,3.200000,0.770000,3.700000,1.000000,3.700000,1.440000,4.100000,213.000000
2015,1,1,3,40,0,361,0.470000,3.300000,0.740000,3.800000,0.910000,4.000000,1.280000,3.900000,221.000000
2015,1,1,4,0,0,357,0.470000,3.300000,0.710000,3.600000,0.910000,3.600000,1.330000,2.900000,143.000000
2015,1,1,4,20,0,374,0.450000,3.200000,0.710000,3.700000,0.890000,3.700000,1.170000,3.800000,164.000000
2015,1,1,4,40,0,377,0.440000,3.200000,0.690000,3.600000,0.870000,3.600000,1.200000,3.800000,4.000000
2015,1,1,5,0,0,362,0.490000,3.300000,0.750000,3.600000,0.920000,3.600000,1.280000,3.500000,221.000000
2015,1,1,5,20,0,365,0.470000,3.300000,0.710000,3.600000,0.860000,3.400000,1.070000,3.600000,327.000000
2015,1,1,5,40,0,370,0.450000,3.200000,0.700000,3.600000,0.870000,3.700000,1.270000,3.700000,151.000000
2015,1,1,6,0,0,370,0.470000,3.200000,0.710000,3.500000,0.860000,3.500000,1.340000,3.400000,25.000000
2015,1,1,6,20,0,375,0.500000,3.200000,0.790000,3.400000,0.970000,3.400000,1.420000,3.800000,131.000000
2015,1,1,6,40,0,368,0.480000,3.200000,0.740000,3.600000,0.950000,3.500000,1.180000,3.800000,270.000000
2015,1,1,7,0,0,370,0.470000,3.200000,0.730000,3.600000,0.930000,3.500000,1.380000,3.900000,331.000000
2015,1,1,7,20,0,357,0.430000,3.400000,0.680000,4.000000,0.860000,3.900000,1.120000,4.300000,290.000000
2015,1,1,7,40,0,345,0.430000,3.500000,0.670000,4.000000,0.830000,4.100000,1.140000,3.200000,155.000000
2015,1,1,8,0,0,345,0.390000,3.500000,0.600000,4.200000,0.750000,4.500000,1.000000,4.100000,168.000000
2015,1,1,8,20,0,355,0.350000,3.400000,0.540000,3.900000,0.670000,3.800000,0.860000,3.500000,160.000000
2015,1,1,8,40,0,339,0.350000,3.500000,0.540000,4.100000,0.690000,3.800000,1.010000,3.200000,160.000000
2015,1,1,9,0,0,348,0.300000,3.400000,0.450000,3.900000,0.560000,4.200000,0.870000,3.500000,172.000000
2015,1,1,9,20,0,349,0.280000,3.400000,0.420000,4.000000,0.510000,4.300000,0.690000,3.400000,127.000000
2015,1,1,9,40,0,351,0.240000,3.400000,0.370000,4.000000,0.470000,4.100000,0.660000,4.000000,192.000000
2015,1,1,10,0,0,360,0.220000,3.300000,0.340000,4.000000,0.420000,3.800000,0.710000,3.100000,78.000000
2015,1,1,10,20,0,363,0.220000,3.300000,0.350000,3.900000,0.440000,4.100000,0.590000,7.000000,258.000000
2015,1,1,10,40,0,347,0.210000,3.500000,0.320000,4.500000,0.410000,5.100000,0.610000,6.400000,168.000000
2015,1,1,11,0,0,343,0.210000,3.500000,0.320000,4.600000,0.400000,5.000000,0.510000,4.200000,168.000000
2015,1,1,11,20,0,340,0.210000,3.500000,0.330000,4.700000,0.410000,4.900000,0.540000,2.500000,160.000000
2015,1,1,11,40,0,352,0.210000,3.400000,0.330000,4.600000,0.400000,5.300000,0.520000,4.300000,176.000000
2015,1,1,12,0,0,326,0.210000,3.700000,0.340000,5.100000,0.420000,5.800000,0.580000,2.900000,160.000000
2015,1,1,12,20,0,355,0.240000,3.400000,0.390000,4.600000,0.490000,4.600000,0.720000,2.600000,176.000000
2015,1,1,12,40,0,379,0.300000,3.100000,0.470000,3.700000,0.600000,3.600000,0.770000,2.700000,180.000000
2015,1,1,13,0,0,371,0.380000,3.200000,0.580000,3.700000,0.740000,3.800000,0.960000,2.600000,168.000000
2015,1,1,13,20,0,384,0.370000,3.100000,0.590000,3.500000,0.750000,3.300000,1.010000,2.800000,147.000000
2015,1,1,13,40,0,361,0.340000,3.300000,0.510000,3.800000,0.630000,3.900000,0.900000,4.600000,164.000000
2015,1,1,14,0,0,326,0.360000,3.700000,0.560000,5.000000,0.720000,5.800000,1.000000,7.000000,168.000000
2015,1,1,14,20,0,321,0.340000,3.700000,0.540000,5.200000,0.690000,5.900000,1.040000,6.400000,164.000000
2015,1,1,14,40,0,346,0.340000,3.400000,0.540000,4.500000,0.710000,4.900000,1.050000,6.900000,184.000000
2015,1,1,15,0,0,366,0.340000,3.300000,0.520000,4.100000,0.630000,4.600000,0.850000,2.500000,172.000000
2015,1,1,15,20,0,362,0.350000,3.300000,0.540000,4.100000,0.680000,4.400000,1.040000,3.300000,164.000000
2015,1,1,15,40,0,342,0.380000,3.500000,0.580000,4.400000,0.730000,4.700000,0.960000,6.400000,168.000000
2015,1,1,16,0,0,367,0.340000,3.200000,0.510000,3.600000,0.640000,3.400000,0.930000,3.600000,168.000000
2015,1,1,16,20,0,374,0.330000,3.200000,0.490000,3.700000,0.600000,3.600000,0.970000,3.000000,53.000000
2015,1,1,16,40,0,402,0.290000,3.000000,0.450000,3.400000,0.580000,3.400000,0.860000,4.200000,127.000000
2015,1,1,17,0,0,383,0.290000,3.100000,0.430000,3.600000,0.540000,3.800000,0.830000,3.500000,168.000000
2015,1,1,17,20,0,400,0.290000,3.000000,0.440000,3.500000,0.550000,3.200000,0.790000,3.100000,160.000000
2015,1,1,17,40,0,396,0.310000,3.000000,0.470000,3.300000,0.600000,3.300000,1.020000,2.700000,164.000000
2015,1,1,18,0,0,410,0.320000,2.900000,0.480000,3.100000,0.610000,3.200000,0.920000,2.800000,57.000000
2015,1,1,18,20,0,394,0.310000,3.000000,0.480000,3.200000,0.610000,2.900000,0.740000,3.400000,115.000000
2015,1,1,18,40,0,397,0.380000,3.000000,0.570000,3.300000,0.710000,3.200000,0.890000,3.000000,229.000000
2015,1,1,19,0,0,403,0.350000,3.000000,0.560000,3.200000,0.710000,3.100000,0.910000,2.600000,4.000000
2015,1,1,19,20,0,388,0.340000,3.100000,0.530000,3.200000,0.670000,3.200000,1.090000,2.900000,299.000000
2015,1,1,19,40,0,391,0.300000,3.100000,0.460000,3.300000,0.570000,3.100000,0.750000,3.000000,299.000000
2015,1,1,20,0,0,387,0.300000,3.100000,0.460000,3.400000,0.600000,3.300000,0.840000,2.900000,323.000000
2015,1,1,20,20,0,382,0.320000,3.100000,0.480000,3.300000,0.580000,3.300000,0.700000,3.700000,127.000000
2015,1,1,20,40,0,389,0.310000,3.100000,0.480000,3.300000,0.620000,3.200000,0.910000,3.100000,164.000000
2015,1,1,21,0,0,384,0.320000,3.100000,0.480000,3.300000,0.600000,3.200000,0.880000,3.600000,16.000000
2015,1,1,21,20,0,363,0.300000,3.300000,0.470000,3.500000,0.600000,3.300000,0.860000,3.200000,25.000000
2015,1,1,21,40,0,377,0.300000,3.200000,0.480000,3.300000,0.600000,3.300000,1.200000,3.100000,37.000000
2015,1,1,22,0,0,389,0.270000,3.100000,0.410000,3.300000,0.500000,3.200000,0.670000,3.100000,123.000000
2015,1,1,22,20,0,387,0.280000,3.100000,0.430000,3.300000,0.530000,3.300000,0.770000,3.100000,295.000000
2015,1,1,22,40,0,376,0.230000,3.200000,0.360000,3.400000,0.450000,3.400000,0.580000,3.500000,205.000000
2015,1,1,23,0,0,396,0.210000,3.000000,0.330000,3.300000,0.410000,3.300000,0.640000,3.500000,286.000000
2015,1,1,23,20,0,386,0.210000,3.100000,0.310000,3.300000,0.380000,3.200000,0.470000,3.200000,86.000000
2015,1,1,23,40,0,387,0.220000,3.100000,0.330000,3.400000,0.410000,3.200000,0.530000,3.800000,184.000000
2015,1,2,0,0,0,385,0.190000,3.100000,0.280000,3.400000,0.340000,3.500000,0.490000,2.400000,176.000000
2015,1,2,0,20,0,368,0.190000,3.200000,0.290000,3.700000,0.360000,3.700000,0.450000,5.500000,168.000000
2015,1,2,0,40,0,373,0.180000,3.200000,0.280000,3.700000,0.340000,4.200000,0.420000,2.600000,151.000000
2015,1,2,1,0,0,362,0.180000,3.300000,0.280000,4.200000,0.350000,4.200000,0.440000,3.000000,176.000000
2015,1,2,1,20,0,347,0.190000,3.400000,0.290000,4.300000,0.370000,4.200000,0.580000,3.600000,160.000000
2015,1,2,1,40,0,339,0.180000,3.500000,0.270000,4.700000,0.350000,6.300000,0.460000,8.400000,176.000000
2015,1,2,2,0,0,327,0.160000,3.700000,0.250000,5.300000,0.300000,6.400000,0.470000,3.000000,168.000000
2015,1,2,2,20,0,276,0.170000,4.300000,0.270000,6.600000,0.340000,7.700000,0.420000,10.300000,188.000000
2015,1,2,2,40,0,281,0.160000,4.200000,0.250000,6.700000,0.320000,7.500000,0.450000,10.300000,168.000000
2015,1,2,3,0,0,260,0.170000,4.600000,0.270000,7.200000,0.320000,8.700000,0.410000,8.500000,176.000000
